가사, 89, 196
아마, 62, 144
아아, 57, 154
차카, 61, 157
사하, 95, 196
다마, 63, 166
하자, 59, 198
라마, 76, 193
아아, 84, 186
차아, 49, 172
아자, 71, 160
하자, 56, 191
카자, 78, 182
아라, 78, 187
나나, 71, 148
사가, 50, 152
바카, 71, 142
타차, 49, 168
다카, 87, 140
차다, 79, 142
차하, 79, 180
마카, 84, 192
바차, 45, 156
아사, 99, 161
하차, 56, 150
라나, 98, 186
가자, 90, 140
아자, 67, 171
카하, 86, 176
하카, 83, 148
차사, 88, 167
아가, 72, 171
아차, 62, 181
마자, 72, 187
차하, 87, 179
하바, 61, 154
나하, 88, 162
라타, 96, 165
타타, 63, 168
바다, 56, 171
라하, 74, 153
마타, 50, 180
카타, 61, 156
하다, 63, 156
다차, 75, 152
사차, 63, 166
가가, 80, 195
아사, 57, 175
카마, 46, 165
하나, 81, 155
차가, 65, 153
라아, 65, 167
가하, 79, 140
차사, 50, 174
바하, 65, 151
다가, 41, 194
타아, 95, 159
아라, 90, 177
가가, 48, 179
차자, 90, 172
다다, 41, 197
자카, 74, 152
타마, 65, 140
바차, 93, 152
바가, 91, 148
차차, 44, 187
나나, 88, 159
사아, 48, 183
아바, 48, 170
카가, 47, 169
카카, 52, 155
바자, 99, 188
자하, 99, 172
차다, 65, 148
사차, 72, 160
다차, 98, 141
나마, 64, 187
나나, 82, 164
라사, 94, 168
아가, 90, 167
마차, 48, 153
자라, 66, 151
카타, 59, 198
카자, 95, 176
사카, 56, 170
가자, 43, 146
사나, 42, 192
차가, 88, 187
마나, 76, 182
바아, 58, 195
아바, 84, 141
하자, 78, 153
바타, 81, 140
카다, 65, 168
나마, 91, 140
마마, 80, 199
카아, 99, 192
타아, 87, 188
타사, 73, 148
바가, 86, 162
아바, 47, 152
아차, 93, 194
사하, 72, 195
다차, 58, 168
가바, 72, 169
자차, 65, 159
타차, 40, 143
마아, 61, 187
아가, 77, 140
사다, 95, 143
하사, 67, 176
사사, 78, 152
라타, 65, 192
아다, 84, 148
나사, 95, 167
아타, 76, 169
마라, 72, 165
마자, 87, 170
마아, 98, 192
사가, 73, 143
타다, 69, 181
라바, 59, 176
타하, 99, 148
라사, 66, 169
카나, 64, 179
라사, 99, 154
바하, 86, 181
자타, 91, 167
다라, 86, 175
바자, 52, 195
타다, 55, 166
자자, 42, 170
라카, 56, 165
나아, 47, 149
아차, 69, 169
가타, 45, 191
차가, 90, 189
타차, 75, 179
타나, 55, 177
카아, 66, 165
타가, 57, 152
바다, 85, 157
나타, 90, 146
카다, 92, 144
바다, 59, 172
사타, 46, 172
차아, 42, 190
마자, 48, 172
카라, 40, 170
바자, 53, 157
카차, 43, 186
다가, 65, 183
차라, 82, 144
가자, 59, 187
아바, 63, 184
아타, 92, 196
다차, 65, 151
다차, 98, 172
사아, 70, 196
다마, 69, 189
바가, 41, 147
가하, 92, 151
마가, 45, 150
카마, 93, 172
하카, 82, 167
자라, 40, 189
바마, 78, 146
가바, 40, 158
다카, 63, 143
다나, 76, 169
아마, 82, 195
자바, 45, 157
다다, 64, 152
하가, 90, 198
카하, 59, 190
하다, 63, 156
카다, 50, 166
라다, 93, 172
라바, 79, 142
차아, 90, 173
가카, 71, 152
나마, 99, 171
바가, 60, 186
바아, 41, 168
하다, 53, 183
라라, 62, 186
바하, 86, 146
바차, 68, 173
타바, 47, 193
라타, 93, 174
카차, 93, 192
마바, 40, 194
타카, 53, 170
타하, 52, 180
자하, 85, 141
자나, 74, 158
카라, 62, 169
바타, 44, 140
바하, 91, 177
나사, 55, 162
라사, 72, 146
다다, 81, 186
카하, 88, 162
바하, 70, 171
나가, 66, 140
아라, 81, 166
카마, 66, 189
가마, 76, 146
아하, 45, 171
카마, 77, 193
라가, 97, 155
라자, 43, 151
자아, 48, 143
하자, 99, 153
자나, 64, 169
마마, 90, 167
나가, 74, 189
가다, 55, 169
자자, 92, 196
하차, 98, 169
자바, 81, 193
타타, 65, 165
아마, 69, 196
다라, 90, 155
카하, 62, 169
자나, 75, 158
마사, 48, 165
자사, 47, 154
나마, 48, 147
타바, 45, 159
다다, 80, 170
아마, 69, 141
가자, 88, 169
타타, 87, 151
자마, 95, 177
하사, 42, 146
차바, 88, 172
차아, 95, 171
카나, 49, 153
차차, 77, 193
바사, 65, 190
카다, 78, 169
가나, 50, 195
바타, 86, 154
나가, 75, 169
라아, 53, 184
자바, 89, 191
하하, 97, 185
자라, 64, 152
카하, 69, 145
카차, 52, 181
라하, 58, 183
자다, 99, 188
타카, 77, 147
자사, 75, 185
라마, 82, 155
사가, 86, 145
카하, 60, 157
타가, 72, 188
마사, 65, 156
차아, 65, 152
바나, 60, 172
자사, 91, 195
나자, 42, 179
카아, 98, 175
바아, 61, 196
차타, 74, 164
자아, 71, 152
가카, 84, 141
차카, 66, 185
바가, 73, 183
나사, 53, 193
바카, 50, 156
자가, 56, 142
다하, 87, 167
차사, 66, 180
아바, 82, 188
가자, 89, 142
아타, 84, 181
바카, 92, 142
자자, 76, 145
라마, 42, 199
다가, 44, 170
타차, 97, 188
라카, 98, 152
차사, 96, 167
사바, 58, 147
카라, 81, 158
아다, 67, 199
라하, 98, 148
카바, 47, 177
라자, 79, 188
타아, 70, 170
바사, 91, 193
라가, 42, 163
사타, 61, 147
